task_title,task_description,task_category,location,disaster_type,requested_volunteers_count,deadline_hours,created_hour,ngo_manual_urgency,priority_label
Community kitchen volunteers needed this week,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Food & Nutrition,Himachal Pradesh,None,5,96,10,high,Medium
Urgent: temporary shelter construction volunteers,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Logistics & Transport,Bihar,None,5,30,8,high,High
Help needed for refugee documentation support,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Pune,None,5,120,17,medium,Medium
Community kitchen volunteers needed this week,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Chennai,None,5,48,9,medium,Medium
Life-threatening situation – rescue volunteers needed NOW,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Madhya Pradesh,Landslide,2,8,20,critical,Critical
Research assistant volunteer for grant writing,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,Odisha,None,3,168,15,low,Medium
Critical medicine delivery volunteers needed today,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Chennai,Landslide,5,12,17,critical,Critical
Urgent: temporary shelter construction volunteers,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Madhya Pradesh,Cyclone,8,36,13,high,High
Urgent rescue operation – volunteers needed immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Andhra Pradesh,Landslide,1,4,8,critical,Critical
Emergency food and water distribution in disaster zone,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Bihar,Flood,2,12,12,critical,Critical
Water distribution support for flood-affected area,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Madhya Pradesh,Cyclone,7,24,18,high,High
Community kitchen volunteers needed this week,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Psychosocial Support,Karnataka,None,4,96,9,medium,Medium
Urgent rescue operation – volunteers needed immediately,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Rajasthan,Landslide,2,12,8,critical,Critical
Volunteers needed tomorrow for ration distribution,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Medical,Madhya Pradesh,Cyclone,7,24,6,high,High
Legal aid camp volunteers needed next few days,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Food & Nutrition,Odisha,None,2,72,14,medium,Medium
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Madhya Pradesh,None,3,96,9,medium,Medium
Awareness campaign volunteers needed this Saturday,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Chennai,None,5,48,16,medium,Medium
Library books sorting volunteers this weekend,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Food & Nutrition,West Bengal,None,7,72,8,high,Medium
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Karnataka,Earthquake,1,12,17,critical,Critical
Educational material sorting volunteers needed next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Mumbai,None,2,168,12,low,Low
Educational material sorting volunteers needed next week,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Awareness,Karnataka,None,2,120,10,low,Low
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Karnataka,None,9,72,18,medium,Medium
Help needed for refugee documentation support,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,Uttarakhand,None,4,96,9,medium,Medium
Admin assistance for NGO office next week,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Administration,Odisha,None,3,336,10,low,Low
Emergency medical aid volunteers for flood victims,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Gujarat,Landslide,4,3,7,high,Critical
Shelter setup support needed by tomorrow morning,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Kerala,None,5,18,13,medium,Critical
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Madhya Pradesh,Flood,3,48,10,medium,Medium
Sanitation volunteers needed at relief camp,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Sanitation,Kerala,Cyclone,6,36,19,critical,High
Relief camp logistics volunteers needed tomorrow,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Food & Nutrition,Mumbai,None,6,48,11,high,Medium
Admin assistance for NGO office next week,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Education,Karnataka,None,2,120,17,low,Low
Shelter setup support needed by tomorrow morning,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Sanitation,Odisha,None,4,48,16,high,High
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Himachal Pradesh,Flood,2,48,12,medium,Medium
Awareness campaign volunteers needed this Saturday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Andhra Pradesh,None,4,48,19,medium,Medium
Rescue team needed near landslide zone tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Bihar,Landslide,1,6,18,critical,Critical
Urgent medical volunteers needed at flood relief camp,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Medical,Assam,Flood,6,3,16,critical,Critical
Community survey volunteers for planning phase,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Administration,Madhya Pradesh,None,3,168,13,low,Low
Psychosocial support volunteers needed this week,Relief supplies from central warehouse need to be packed and transported to 5 distribution points. Need 6 volunteers tomorrow morning.,Shelter,Uttarakhand,Flood,4,18,17,high,High
Rescue team needed near landslide zone tonight,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Kerala,Cyclone,1,2,19,critical,Critical
Rescue team needed near landslide zone tonight,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Guwahati,Cyclone,1,2,23,critical,Critical
Website update volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,Madhya Pradesh,None,1,168,12,low,Medium
Emergency food and water distribution in disaster zone,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,West Bengal,Cyclone,2,8,11,critical,Critical
Sanitation volunteers needed at relief camp,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,Chennai,Cyclone,2,24,13,high,High
Life-threatening situation – rescue volunteers needed NOW,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Madhya Pradesh,Landslide,4,12,22,critical,High
Urgent rescue operation – volunteers needed immediately,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Guwahati,Cyclone,1,1,0,critical,Critical
Critical medicine delivery volunteers needed today,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Assam,Cyclone,2,1,16,critical,Critical
Volunteer drivers needed for medicine transport tomorrow,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Shelter,Andhra Pradesh,Cyclone,2,36,18,high,High
Research assistant volunteer for grant writing,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Bihar,None,3,336,11,low,Low
Urgent medical volunteers needed at flood relief camp,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Medical,Pune,Earthquake,5,1,19,critical,Critical
Critical: trauma support volunteers needed at hospital,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Kerala,None,4,2,20,critical,Critical
Food distribution volunteers needed this evening,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Shelter,Rajasthan,Flood,3,12,18,high,High
Relief camp logistics volunteers needed tomorrow,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Medical,Gujarat,None,6,36,20,medium,High
Volunteer drivers needed for medicine transport tomorrow,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Logistics & Transport,Guwahati,None,4,36,20,high,High
Emergency relief – medical camp setup tonight,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Rescue & Evacuation,Odisha,Earthquake,2,6,15,critical,Critical
Life-threatening situation – rescue volunteers needed NOW,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Logistics & Transport,Chennai,Cyclone,4,4,23,critical,Critical
Research assistant volunteer for grant writing,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Education,Madhya Pradesh,None,2,240,17,medium,Low
Critical: trauma support volunteers needed at hospital,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Uttarakhand,Cyclone,2,12,20,critical,Critical
Critical medicine delivery volunteers needed today,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Madhya Pradesh,Flood,3,8,12,critical,Critical
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Sanitation,Rajasthan,None,5,12,8,high,High
Life-threatening situation – rescue volunteers needed NOW,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Madhya Pradesh,Earthquake,3,3,14,critical,Critical
Rescue team needed near landslide zone tonight,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Food & Nutrition,Odisha,Landslide,1,2,20,critical,Critical
Food distribution volunteers needed this evening,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Medical,Guwahati,Flood,2,30,15,high,Medium
Transport volunteers for weekly supply delivery,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Awareness,West Bengal,None,10,120,11,medium,Medium
Data entry volunteers needed next month,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,Guwahati,None,1,168,17,low,Low
Food distribution volunteers needed this evening,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Kerala,Cyclone,8,12,13,high,High
Urgent: temporary shelter construction volunteers,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Karnataka,None,5,24,21,high,High
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,West Bengal,None,4,48,16,medium,Medium
Transport volunteers for weekly supply delivery,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Psychosocial Support,Uttarakhand,None,2,72,8,low,Medium
Community survey volunteers for planning phase,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Administration,Karnataka,None,2,168,17,medium,Low
Life-threatening situation – rescue volunteers needed NOW,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Madhya Pradesh,Cyclone,4,2,17,critical,Critical
Emergency blood donors required immediately,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Logistics & Transport,Rajasthan,Flood,2,2,20,critical,Critical
Urgent rescue operation – volunteers needed immediately,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Logistics & Transport,Rajasthan,Landslide,3,1,16,high,Critical
Urgent medical volunteers needed at flood relief camp,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Rescue & Evacuation,Madhya Pradesh,Earthquake,6,1,13,critical,Critical
Help needed for refugee documentation support,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Andhra Pradesh,None,8,72,10,medium,Medium
Research assistant volunteer for grant writing,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Fundraising,Gujarat,None,3,168,10,low,Medium
Volunteers needed this weekend for donation packaging,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Awareness,Odisha,None,6,48,18,low,Medium
Urgent medical volunteers needed at flood relief camp,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Guwahati,Flood,5,3,22,critical,Critical
Volunteer coordinator assistant needed,"Need a volunteer developer to update our NGO website with new donation information. Remote work, deadline next month.",Awareness,Mumbai,None,1,504,14,low,Low
Emergency blood donors required immediately,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Medical,Karnataka,Cyclone,4,2,10,critical,Critical
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Mumbai,None,8,120,13,low,Medium
Community survey volunteers for planning phase,"Community survey volunteer needed for needs assessment in a village. Low urgency, planning phase for next quarter.",Education,Madhya Pradesh,None,4,120,17,medium,Low
Awareness campaign volunteers needed this Saturday,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Skill Training,Mumbai,None,4,120,9,medium,Medium
Urgent: temporary shelter construction volunteers,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Assam,Flood,4,18,19,high,Critical
Admin assistance for NGO office next week,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Education,Rajasthan,None,4,336,9,low,Low
Immediate evacuation support needed in cyclone area,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Logistics & Transport,Chennai,None,6,1,11,critical,Critical
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Odisha,None,5,120,9,low,Medium
Emergency food and water distribution in disaster zone,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Bihar,Flood,4,12,17,high,Critical
Emergency relief – medical camp setup tonight,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Food & Nutrition,Gujarat,Cyclone,3,3,1,critical,High
Donation collection drive volunteers this weekend,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Psychosocial Support,Karnataka,None,5,72,11,medium,Medium
Educational material sorting volunteers needed next week,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Administration,Andhra Pradesh,None,3,120,15,low,Low
Urgent: stranded flood victims need immediate help,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Madhya Pradesh,Cyclone,4,12,15,high,Critical
Help needed for refugee documentation support,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Skill Training,Odisha,None,4,72,16,medium,Medium
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Uttarakhand,Earthquake,1,6,11,critical,Critical
Legal aid camp volunteers needed next few days,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Awareness,Andhra Pradesh,None,3,72,14,medium,Medium
Skill training session support volunteers,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Gujarat,None,3,48,18,medium,Medium
Library books sorting volunteers this weekend,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Skill Training,Pune,Flood,10,120,8,low,Medium
Video editing volunteer for awareness campaign,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Administration,West Bengal,None,3,168,14,low,Low
Sanitation volunteers needed at relief camp,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Shelter,Pune,Cyclone,8,12,9,high,High
Food distribution volunteers needed this evening,Daily food distribution at refugee camp needs reinforcement. Existing volunteers are exhausted. Need fresh team starting tomorrow.,Medical,Bihar,Flood,8,36,14,high,High
Volunteers needed this weekend for donation packaging,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Food & Nutrition,Odisha,None,4,48,17,medium,Medium
Emergency blood donors required immediately,Landslide has cut off a village. Search and rescue operation ongoing. Need trained rescue volunteers immediately with ropes and basic equipment.,Rescue & Evacuation,Karnataka,None,6,12,17,critical,Critical
Urgent rescue operation – volunteers needed immediately,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Andhra Pradesh,None,3,1,8,critical,High
Critical: trauma support volunteers needed at hospital,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Logistics & Transport,Bihar,Landslide,5,6,3,critical,Critical
Emergency food and water distribution in disaster zone,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Food & Nutrition,Himachal Pradesh,Flood,4,6,17,critical,Critical
Transport volunteers for weekly supply delivery,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Skill Training,Assam,None,4,48,8,low,Medium
Urgent: stranded flood victims need immediate help,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Logistics & Transport,Uttarakhand,Cyclone,6,2,7,high,Critical
Emergency food and water distribution in disaster zone,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Assam,Flood,5,4,16,critical,Critical
Critical: trauma support volunteers needed at hospital,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Uttarakhand,Flood,4,1,6,high,Critical
Skill training session support volunteers,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Psychosocial Support,Chennai,None,3,72,17,high,Medium
Transport volunteers for weekly supply delivery,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Logistics & Transport,Odisha,None,10,72,11,medium,Medium
Video editing volunteer for awareness campaign,Data entry volunteer needed to digitize paper records over 2-3 weeks. Can work from home at own pace.,Fundraising,Odisha,None,3,120,16,low,Low
Social media content creation volunteer needed,"Administrative support needed at our main office. Tasks include data entry, filing, and basic computer work. Flexible timing next week.",Fundraising,Pune,None,3,120,12,low,Low
Skill training session support volunteers,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Awareness,Pune,None,2,96,16,low,Low
Critical: trauma support volunteers needed at hospital,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Rescue & Evacuation,Odisha,Cyclone,6,3,16,critical,Critical
Immediate evacuation support needed in cyclone area,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Kerala,Flood,4,1,12,critical,Critical
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,West Bengal,Flood,3,48,9,high,High
Sanitation volunteers needed at relief camp,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Shelter,Gujarat,None,2,48,11,medium,High
Rescue team needed near landslide zone tonight,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Medical,Karnataka,Flood,6,2,23,critical,Critical
Rescue team needed near landslide zone tonight,Situation is life-threatening. Floodwaters rising rapidly. Medical volunteers with first aid training needed urgently tonight. People are stranded without food or medicine.,Logistics & Transport,Himachal Pradesh,Flood,6,4,7,critical,Critical
Community kitchen volunteers needed this week,"Weekend donation packaging drive for hygiene kits. Need 6 volunteers to sort, pack, and label kits at our warehouse on Saturday.",Skill Training,Odisha,None,9,96,14,medium,Medium
Volunteer coordinator assistant needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Awareness,Uttarakhand,None,2,504,12,low,Low
Psychosocial support volunteers needed this week,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Medical,West Bengal,Flood,6,18,20,high,High
Immediate evacuation support needed in cyclone area,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Logistics & Transport,Uttarakhand,Cyclone,3,1,6,critical,Critical
Volunteers needed tomorrow for ration distribution,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Pune,Flood,3,30,18,high,High
Health camp registration volunteers needed Sunday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Skill Training,Chennai,None,2,96,19,medium,Medium
Medical camp volunteers needed this week,Ration distribution drive for 500 displaced families tomorrow morning at 8am. Need 5 organized volunteers for crowd management and distribution.,Sanitation,Himachal Pradesh,Flood,3,12,21,critical,High
Data entry volunteers needed next month,Research volunteer needed to help write our annual grant report. Need someone with writing skills. Work from home. No urgency.,Awareness,Madhya Pradesh,None,2,504,13,low,Low
Rescue team needed near landslide zone tonight,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Food & Nutrition,Karnataka,Landslide,5,1,16,critical,Critical
Urgent: stranded flood victims need immediate help,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Food & Nutrition,Madhya Pradesh,None,1,6,7,high,Critical
Psychosocial support volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Medical,Gujarat,None,2,36,9,high,High
Urgent medical volunteers needed at flood relief camp,Medicine supply running out at relief camp. Transport volunteers with own vehicle needed to pick up medicines and deliver to camp tonight.,Logistics & Transport,Andhra Pradesh,Flood,1,2,21,critical,Critical
Legal aid camp volunteers needed next few days,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Logistics & Transport,Karnataka,None,2,72,16,medium,Medium
Volunteer drivers needed for medicine transport tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Food & Nutrition,Bihar,None,3,30,13,medium,High
Water distribution support for flood-affected area,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Medical,Karnataka,None,3,12,9,medium,High
Volunteers needed this weekend for donation packaging,Health camp registration drive on Sunday. Need 3 volunteers to manage paperwork and assist with patient flow.,Logistics & Transport,Chennai,None,4,72,17,medium,Medium
Emergency blood donors required immediately,Gas leak near residential area. Need support volunteers to assist evacuation and crowd management. Emergency services are overwhelmed.,Medical,West Bengal,Landslide,2,8,4,critical,High
Health camp registration volunteers needed Sunday,Community kitchen needs extra hands this week for cooking and serving meals for 150 daily visitors.,Logistics & Transport,Odisha,None,8,96,17,medium,Medium
Sanitation volunteers needed at relief camp,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Medical,Odisha,Flood,2,18,16,high,High
Relief camp logistics volunteers needed tomorrow,Sanitation drive needed at relief camp to prevent disease outbreak. Need 4 volunteers for cleaning and awareness. Starts tomorrow.,Logistics & Transport,Pune,None,5,48,19,critical,High
Donation collection drive volunteers this weekend,Awareness campaign about disease prevention in flood-affected communities. Need volunteers for door-to-door visits this Saturday.,Psychosocial Support,Odisha,None,9,48,8,medium,Medium
Help needed for refugee documentation support,Skill training session for youth in relief camp. Need 2 volunteer trainers for a half-day workshop this week.,Awareness,Gujarat,None,4,72,16,medium,Medium
Critical: trauma support volunteers needed at hospital,Emergency: children with high fever at disaster camp. Need pediatric volunteers or nurses immediately. No medical facility nearby.,Rescue & Evacuation,Assam,Cyclone,5,4,8,critical,Critical
Immediate evacuation support needed in cyclone area,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Chennai,Flood,5,6,18,critical,Critical
Critical medicine delivery volunteers needed today,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Rescue & Evacuation,Guwahati,Landslide,2,3,4,critical,Critical
Immediate evacuation support needed in cyclone area,Cyclone evacuation underway. Need strong volunteers to help shift elderly and disabled persons to safety shelters immediately.,Food & Nutrition,Assam,Flood,1,12,12,critical,Critical
Awareness campaign volunteers needed this Saturday,Refugee documentation assistance: helping families register for government relief. Need 2 volunteers with language skills.,Food & Nutrition,Mumbai,None,3,72,16,medium,Medium
Donation collection drive volunteers this weekend,Monthly supply transport to remote village. Need 2 volunteers with driving license for a 4-hour round trip this weekend.,Logistics & Transport,Odisha,None,5,120,13,medium,Medium
Shelter setup support needed by tomorrow morning,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Sanitation,Madhya Pradesh,None,4,36,13,high,High
Medical camp volunteers needed this week,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Sanitation,Guwahati,Flood,4,48,8,high,High
Volunteers needed tomorrow for ration distribution,Water tanker distribution route needs 3 volunteer coordinators to manage queues and ensure equitable distribution in affected zones.,Food & Nutrition,Guwahati,Cyclone,6,24,8,high,High
Social media content creation volunteer needed,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Fundraising,Guwahati,None,2,120,12,medium,Low
Video editing volunteer for awareness campaign,Sorting and cataloguing donated educational materials for distribution next week. No special skills required. Indoor work.,Education,West Bengal,None,2,168,12,low,Low
Video editing volunteer for awareness campaign,Looking for a volunteer to manage our NGO social media for one month. Need someone with basic content creation skills.,Awareness,Assam,None,1,168,16,low,Low
Water distribution support for flood-affected area,Setting up temporary shelter for 100 flood-affected people arriving tomorrow evening. Need volunteers for construction and arrangement.,Food & Nutrition,Madhya Pradesh,Cyclone,4,30,9,high,High
Medical camp volunteers needed this week,"Medical camp starting this week for flood survivors. Need volunteers to assist doctors with registration, triage, and patient flow.",Food & Nutrition,Mumbai,Cyclone,5,30,19,high,High
Urgent rescue operation – volunteers needed immediately,Severe blood shortage at district hospital. Patients in critical condition need transfusions immediately. Please respond within the next 2 hours.,Medical,Madhya Pradesh,Cyclone,6,1,3,critical,Critical
Urgent: stranded flood victims need immediate help,Severe flood displacement. 200+ families stranded. Need medical triage volunteers to handle injuries and illness. Time-critical situation.,Medical,Guwahati,Flood,6,6,12,critical,Critical
